,0
2008-02-20,0.04065468024661688
2008-02-26,0.041248957946267345
2008-03-19,0.04205673882632704
2008-06-19,0.04318064391304604
2008-09-18,0.04165118182744163
2008-12-17,0.040144040626302044
2009-03-17,0.03897571851245354
2009-06-18,0.038078901677518505
2009-09-17,0.037527378230866486
2009-12-16,0.03724270930648275
2010-02-19,0.037904660435756576
2011-02-21,0.038135747851903164
2012-02-20,0.038820630280807754
2013-02-19,0.03967424855029438
2014-02-19,0.04057297332658251
2015-02-19,0.04148411876718012
2016-02-19,0.04236559791608662
2017-02-20,0.0431697281973453
2018-02-19,0.04392289078853855
2019-02-19,0.04459512685353326
2020-02-19,0.045208574278042785
2021-02-19,0.04568255386940741
2022-02-21,0.04611986996861992
2023-02-20,0.04648693436215846
2024-02-19,0.04679394964769561
2025-02-19,0.047040051508097536
2026-02-19,0.04724260751626518
2027-02-19,0.04740079813267256
2028-02-21,0.047519621108309054
2029-02-19,0.047599323443150064
2030-02-19,0.04765343541268154
2031-02-19,0.04768013861933182
2032-02-19,0.04768047013252966
2033-02-21,0.047651007829123126
2034-02-20,0.04760653306574709
2035-02-19,0.04754371968767494
2036-02-19,0.047466322810029146
2037-02-19,0.04737115085109496
2038-02-19,0.04727066707190414
2039-02-21,0.047163646974660814
2040-02-20,0.04705225991214622
2041-02-19,0.04693074406947952
2042-02-19,0.046808801218290036
2043-02-19,0.04668329943036685
2044-02-19,0.04655513369888385
2045-02-20,0.04641929878873236
2046-02-19,0.04628643554637223
2047-02-19,0.046152716728020605
2048-02-19,0.04601935536413646
2049-02-19,0.045883175123002544
2050-02-21,0.045751668651173756
2051-02-20,0.04562023213304597
2052-02-19,0.04549026199621545
2053-02-19,0.045355939756010946
2054-02-19,0.04522274063668213
2055-02-19,0.04509092299157062
2056-02-21,0.044957259123700674
2057-02-19,0.04482235102703333
2058-02-19,0.0446846259732632
